month,day,carrier,origin,arr_delay,arr_time,sched_arr_time
11,9,MQ,LGA,-27,1313,1340
6,23,VX,EWR,-32,1013,1045
9,5,MQ,JFK,-26,1749,1815
4,29,AA,LGA,-23,2057,2120
4,22,DL,JFK,8,1651,1643
7,29,US,JFK,4,1355,1351
5,18,US,EWR,-23,1544,1607
9,20,EV,EWR,-31,2125,2156
12,27,EV,EWR,-25,1033,1058
2,2,DL,LGA,17,2036,2019
1,17,FL,LGA,1,1651,1650
11,14,9E,JFK,1,1713,1712
4,26,AA,JFK,5,940,935
11,9,WN,LGA,-12,1613,1625
8,17,UA,EWR,-12,2008,2020
11,28,DL,JFK,-6,1046,1052
5,30,EV,EWR,-5,758,803
8,14,MQ,EWR,5,1715,1710
5,1,B6,LGA,-18,1002,1020
6,18,DL,JFK,105,2059,1914
7,1,B6,LGA,22,926,904
10,28,9E,LGA,-16,2242,2258
3,24,B6,JFK,-11,1026,1037
7,23,UA,EWR,149,2137,1908
9,11,B6,JFK,-13,924,937
1,23,UA,EWR,57,2137,2040
5,17,EV,LGA,7,2119,2112
12,4,UA,EWR,-11,904,915
8,5,MQ,LGA,-11,1834,1845
3,7,US,EWR,-23,2009,2032
10,20,B6,JFK,-11,921,932
5,12,B6,JFK,14,2223,2209
9,16,US,LGA,-18,642,700
5,8,EV,LGA,-7,705,712
3,6,DL,LGA,-26,1154,1220
12,26,UA,EWR,-7,1153,1200
8,7,EV,LGA,-17,2034,2051
9,1,UA,EWR,-18,1925,1943
3,1,UA,EWR,-4,1724,1728
6,24,UA,LGA,-16,1135,1151
8,28,UA,EWR,20,1831,1811
9,8,B6,JFK,53,1025,932
3,17,DL,JFK,3,1859,1856
4,16,9E,JFK,6,1954,1948
6,21,DL,LGA,-25,1841,1906
8,4,B6,EWR,15,1533,1518
4,27,B6,JFK,-61,1948,2049
9,30,EV,LGA,9,1834,1825
5,5,DL,LGA,-18,1822,1840
5,8,UA,EWR,-34,1946,2020
9,14,VX,JFK,-17,1948,2005
9,22,MQ,JFK,7,1647,1640
7,12,DL,EWR,0,1358,1358
11,15,EV,EWR,-9,1238,1247
7,15,B6,JFK,10,1320,1310
8,7,EV,EWR,-33,2256,2329
7,30,DL,JFK,-37,2104,2141
8,22,B6,JFK,-9,1343,1352
4,30,EV,LGA,-31,2040,2111
1,19,B6,JFK,-8,1259,1307
3,31,MQ,JFK,-17,1628,1645
6,5,UA,EWR,-4,1029,1033
7,1,B6,JFK,-10,1048,1058
1,24,DL,JFK,-25,1053,1118
3,8,UA,EWR,3,909,906
6,5,EV,EWR,-13,1714,1727
9,19,EV,EWR,9,1752,1743
2,6,DL,JFK,-47,1216,1303
9,22,EV,EWR,-5,1000,1005
11,3,EV,EWR,-7,1040,1047
11,19,UA,EWR,-27,1214,1241
3,12,EV,EWR,31,2140,2109
8,7,B6,JFK,7,1228,1221
3,26,EV,EWR,23,808,745
12,12,EV,EWR,0,930,930
5,25,WN,LGA,-17,758,815
2,20,AA,LGA,-15,1250,1305
6,8,DL,JFK,-30,1140,1210
6,30,9E,JFK,NA,NA,1820
5,9,AA,JFK,21,1411,1350
2,14,MQ,LGA,-18,2232,2250
9,25,9E,JFK,-20,2139,2159
7,29,B6,JFK,-3,1356,1359
7,19,DL,JFK,18,2023,2005
4,8,WN,LGA,-1,1504,1505
4,17,B6,EWR,-2,852,854
1,18,UA,EWR,0,1058,1058
2,25,EV,EWR,-6,1500,1506
10,24,AA,EWR,-22,1913,1935
11,6,AA,EWR,-3,1017,1020
11,19,WN,EWR,-13,912,925
3,18,AA,LGA,35,1625,1550
11,5,EV,EWR,5,839,834
2,9,EV,EWR,93,1733,1600
3,24,AA,JFK,11,1406,1355
11,23,FL,LGA,-11,1117,1128
1,4,US,JFK,-35,1254,1329
7,22,9E,JFK,238,110,2112
10,4,MQ,JFK,11,1406,1355
4,13,UA,JFK,64,2224,2120
2,13,B6,JFK,-7,858,905
10,18,MQ,LGA,3,1443,1440
12,6,EV,EWR,-22,1228,1250
6,24,EV,EWR,9,1439,1430
3,10,AA,JFK,-4,1946,1950
11,3,US,LGA,-17,2058,2115
8,19,AA,JFK,-6,1019,1025
5,13,US,LGA,-23,1856,1919
11,15,MQ,LGA,0,1255,1255
1,22,DL,JFK,-13,1552,1605
1,2,EV,EWR,58,5,2307
8,19,B6,JFK,-13,1130,1143
3,14,MQ,JFK,-11,1204,1215
2,9,DL,JFK,-19,2145,2204
10,1,9E,LGA,10,1057,1047
12,7,AA,JFK,-8,2212,2220
12,27,B6,JFK,-18,2147,2205
5,10,FL,LGA,-2,2159,2201
8,12,AA,JFK,-19,2026,2045
5,13,B6,JFK,9,350,341
7,8,B6,JFK,-9,904,913
7,15,B6,JFK,NA,NA,1735
11,24,DL,JFK,-3,858,901
4,26,DL,JFK,-18,2300,2318
6,22,MQ,LGA,11,1216,1205
5,30,DL,LGA,86,2006,1840
3,15,B6,JFK,43,2348,2305
6,12,AA,LGA,-6,2309,2315
4,19,MQ,LGA,22,1417,1355
4,24,VX,JFK,-14,1356,1410
6,25,MQ,LGA,1,1311,1310
6,12,AA,EWR,-26,1724,1750
4,4,DL,JFK,-1,1938,1939
10,17,B6,JFK,-16,1857,1913
12,6,9E,JFK,-30,1724,1754
5,25,B6,JFK,-22,323,345
5,27,UA,LGA,-25,1051,1116
11,22,EV,EWR,38,1319,1241
5,13,US,JFK,-29,1827,1856
4,26,US,LGA,82,1335,1213
1,11,DL,JFK,-20,1545,1605
2,4,US,EWR,10,1933,1923
12,12,US,LGA,NA,NA,701
4,25,EV,EWR,129,1839,1630
10,18,UA,LGA,-26,1529,1555
5,19,UA,EWR,45,2053,2008
12,11,B6,JFK,1,1346,1345
10,2,EV,EWR,-9,2257,2306
9,17,EV,EWR,-25,1904,1929
11,21,DL,JFK,5,2305,2300
8,27,AA,EWR,-38,1857,1935
6,7,AA,LGA,9,2129,2120
1,8,EV,EWR,12,844,832
9,5,AA,LGA,-35,2045,2120
12,3,DL,JFK,17,1244,1227
7,31,DL,LGA,-3,1006,1009
11,27,DL,LGA,0,2021,2021
10,4,DL,JFK,33,2109,2036
4,13,DL,JFK,-18,1843,1901
9,10,9E,LGA,-36,2038,2114
1,6,AA,LGA,-5,1905,1910
10,24,EV,LGA,13,1143,1130
9,30,B6,LGA,-8,1858,1906
3,29,MQ,LGA,-26,1519,1545
6,6,EV,EWR,-4,1209,1213
7,2,UA,EWR,NA,2121,1801
3,26,AA,JFK,-15,1650,1705
1,10,DL,JFK,-25,1540,1605
8,26,B6,JFK,-21,2340,1
10,21,DL,LGA,-25,2100,2125
11,19,DL,LGA,-3,824,827
4,15,B6,JFK,2,2051,2049
1,18,MQ,EWR,-5,845,850
10,9,B6,EWR,4,1851,1847
6,3,9E,JFK,-27,2226,2253
3,18,UA,LGA,3,1735,1732
3,7,MQ,JFK,27,2017,1950
11,9,B6,LGA,-31,1643,1714
9,3,AA,LGA,-3,2117,2120
7,23,EV,EWR,245,2324,1919
9,16,B6,EWR,4,2157,2153
2,4,B6,JFK,7,1045,1038
4,15,MQ,LGA,-25,1930,1955
1,22,DL,JFK,15,1139,1124
6,26,EV,LGA,-17,1235,1252
2,27,MQ,LGA,-20,920,940
4,29,AA,LGA,-47,2003,2050
1,25,AA,JFK,-24,826,850
7,18,DL,JFK,5,1044,1039
10,30,UA,EWR,-9,2241,2250
4,4,UA,EWR,-27,1543,1610
12,4,UA,EWR,-4,1412,1416
8,4,9E,JFK,8,2120,2112
3,4,EV,JFK,-11,704,715
5,14,UA,EWR,-36,1456,1532
4,14,UA,EWR,-5,1103,1108
11,4,EV,EWR,2,2223,2221
9,23,9E,JFK,-32,1958,2030
8,27,MQ,LGA,-10,2225,2235
9,3,DL,JFK,-8,846,854
1,27,AA,JFK,-26,1154,1220
5,5,B6,LGA,-20,1220,1240
11,30,B6,LGA,-27,1905,1932
5,21,WN,EWR,4,1659,1655
3,3,B6,EWR,-25,2023,2048
3,25,US,LGA,NA,NA,2114
2,25,AA,LGA,-31,1614,1645
9,2,AA,LGA,-37,1018,1055
9,4,DL,JFK,-33,2043,2116
6,27,US,LGA,0,1457,1457
5,31,B6,JFK,-12,1235,1247
12,26,UA,EWR,6,906,900
8,7,9E,JFK,-8,1043,1051
12,6,UA,EWR,-18,1950,2008
3,19,UA,EWR,79,2335,2216
2,18,MQ,LGA,-23,2147,2210
6,10,AA,LGA,-42,1953,2035
12,30,DL,JFK,-29,2025,2054
8,28,DL,JFK,-10,1054,1104
8,27,EV,EWR,-25,812,837
11,24,UA,EWR,41,2330,2249
10,1,DL,LGA,-29,1950,2019
1,23,VX,JFK,-12,2023,2035
8,17,UA,EWR,-26,1930,1956
5,13,UA,LGA,-51,1250,1341
11,19,DL,JFK,22,2234,2212
8,30,EV,EWR,-14,1528,1542
7,25,DL,JFK,-12,1852,1904
5,26,EV,LGA,-25,1530,1555
3,14,DL,LGA,-9,1330,1339
3,4,UA,EWR,9,1614,1605
3,3,B6,JFK,-9,5,14
7,23,EV,EWR,NA,NA,2104
11,23,DL,JFK,24,1058,1034
3,24,MQ,LGA,6,1716,1710
5,19,9E,LGA,-2,1625,1627
12,7,B6,JFK,9,2127,2118
8,4,DL,JFK,-18,1844,1902
9,22,EV,EWR,-12,2224,2236
2,7,B6,JFK,33,1558,1525
5,29,DL,LGA,1,1435,1434
6,26,VX,JFK,16,2021,2005
11,4,UA,EWR,-16,1413,1429
3,8,UA,EWR,8,2349,2341
4,15,B6,JFK,4,931,927
5,18,B6,JFK,21,12,2351
10,8,9E,JFK,144,2348,2124
9,4,MQ,LGA,-5,835,840
8,9,DL,JFK,26,2242,2216
5,27,UA,EWR,-13,1742,1755
6,24,UA,EWR,28,2145,2117
3,25,UA,EWR,-16,1809,1825
12,31,B6,JFK,-4,2240,2244
5,30,DL,LGA,-5,1807,1812
2,26,UA,EWR,-5,1829,1834
11,4,EV,EWR,51,1511,1420
9,2,UA,EWR,21,1109,1048
5,15,US,EWR,-10,630,640
11,24,US,JFK,6,1703,1657
9,5,B6,LGA,-22,2228,2250
9,16,B6,JFK,-9,1013,1022
5,14,UA,JFK,-39,1118,1157
10,13,UA,EWR,-39,1102,1141
4,26,WN,EWR,-2,1323,1325
11,14,DL,EWR,0,1524,1524
5,11,UA,EWR,-27,1133,1200
9,12,EV,EWR,126,38,2232
7,28,UA,JFK,102,1932,1750
7,19,AS,EWR,-18,1007,1025
6,18,MQ,EWR,103,13,2230
9,18,MQ,LGA,-17,1533,1550
3,20,AA,LGA,-6,1554,1600
2,14,B6,JFK,-14,743,757
6,28,MQ,LGA,53,1818,1725
4,3,UA,LGA,-6,914,920
11,28,AA,LGA,-34,816,850
11,2,DL,EWR,-19,2015,2034
4,23,MQ,LGA,12,812,800
8,16,UA,EWR,-28,1931,1959
5,27,EV,EWR,-22,2242,2304
7,25,DL,EWR,78,1747,1629
1,14,DL,LGA,5,1350,1345
11,15,EV,LGA,-14,705,719
2,25,US,LGA,-22,1851,1913
12,21,EV,EWR,-7,2326,2333
4,6,AA,JFK,-43,1737,1820
4,12,US,LGA,48,1909,1821
5,2,WN,EWR,NA,NA,925
2,16,DL,JFK,30,1159,1129
6,28,MQ,EWR,-9,1446,1455
4,27,DL,LGA,-15,1947,2002
8,12,EV,EWR,6,1425,1419
1,9,MQ,EWR,1,2021,2020
11,29,UA,EWR,-34,2156,2230
9,5,DL,JFK,-39,2021,2100
2,17,DL,JFK,-36,2107,2143
3,28,EV,EWR,-18,2139,2157
6,28,EV,LGA,NA,NA,2047
5,1,EV,EWR,-13,1432,1445
10,14,AA,LGA,7,1317,1310
11,14,DL,LGA,-15,1805,1820
10,15,AA,LGA,2,1907,1905
9,29,US,LGA,-27,1151,1218
12,22,EV,EWR,-4,1206,1210
12,6,EV,EWR,33,1112,1039
3,21,DL,JFK,-9,1855,1904
10,8,VX,EWR,-35,2030,2105
7,1,DL,LGA,264,1859,1435
10,9,DL,LGA,12,2239,2227
2,9,B6,JFK,24,1811,1747
5,21,B6,EWR,3,1352,1349
12,16,DL,LGA,7,2016,2009
7,9,DL,LGA,-27,1158,1225
11,17,B6,JFK,-4,1202,1206
4,3,MQ,JFK,16,1656,1640
8,27,UA,EWR,-6,1806,1812
11,15,DL,EWR,-18,1936,1954
12,21,DL,JFK,-18,1505,1523
2,20,DL,LGA,5,2321,2316
6,19,VX,JFK,2,1222,1220
7,7,AA,LGA,12,2012,2000
8,28,DL,JFK,78,2246,2128
11,25,MQ,LGA,-11,1434,1445
7,8,EV,EWR,-7,1412,1419
11,27,DL,LGA,24,1132,1108
9,24,EV,LGA,45,2347,2302
5,30,DL,LGA,-18,910,928
9,2,EV,JFK,250,1958,1548
7,21,B6,JFK,54,1236,1142
3,17,AA,JFK,-4,1851,1855
8,17,B6,EWR,-13,1056,1109
10,8,UA,EWR,-6,1423,1429
8,10,B6,JFK,-7,1139,1146
6,3,MQ,LGA,2,1257,1255
10,23,B6,JFK,3,1954,1951
6,20,US,EWR,-12,1154,1206
7,24,DL,LGA,7,2239,2232
11,6,UA,EWR,-27,1636,1703
6,17,EV,EWR,121,2303,2102
5,7,B6,JFK,-11,1539,1550
12,4,B6,JFK,30,2159,2129
12,4,AA,JFK,38,2048,2010
3,11,US,JFK,-9,1224,1233
3,28,US,LGA,0,1619,1619
2,2,WN,EWR,-23,1802,1825
6,28,DL,JFK,22,1929,1907
4,3,EV,EWR,22,1244,1222
11,17,9E,JFK,2,1637,1635
5,28,DL,LGA,-27,1134,1201
8,19,EV,LGA,-22,1111,1133
3,11,9E,JFK,-10,1630,1640
5,8,B6,EWR,4,1934,1930
1,14,B6,JFK,2,1707,1705
2,8,YV,LGA,NA,NA,1559
5,2,DL,JFK,-17,1017,1034
11,28,UA,LGA,11,1046,1035
3,12,WN,EWR,-19,1326,1345
12,2,VX,JFK,14,1419,1405
1,27,B6,JFK,-16,1201,1217
12,27,MQ,LGA,-13,952,1005
9,19,B6,JFK,-13,1717,1730
7,25,AA,JFK,44,2114,2030
11,29,EV,LGA,-30,1740,1810
4,1,DL,JFK,8,1909,1901
12,22,EV,EWR,170,25,2135
6,24,UA,EWR,0,1435,1435
7,17,UA,EWR,-4,1541,1545
3,7,US,EWR,62,2025,1923
11,11,UA,LGA,8,2001,1953
12,8,MQ,LGA,-1,1134,1135
3,2,B6,JFK,-7,1046,1053
6,13,FL,LGA,-13,802,815
2,3,FL,LGA,-14,2120,2134
8,6,DL,JFK,-5,1822,1827
4,18,AA,JFK,0,930,930
6,4,UA,LGA,-12,2126,2138
7,25,DL,JFK,11,2321,2310
8,25,9E,JFK,-16,2047,2103
4,3,US,JFK,1,2033,2032
8,15,EV,EWR,32,903,831
6,17,MQ,LGA,-11,1333,1344
12,27,UA,EWR,-4,2000,2004
7,7,US,EWR,-11,815,826
6,26,B6,LGA,44,1704,1620
12,10,AS,EWR,104,2336,2152
2,10,US,LGA,7,2213,2206
4,2,DL,JFK,-3,1931,1934
8,1,UA,JFK,20,1327,1307
12,7,UA,EWR,20,1815,1755
6,11,9E,JFK,1,2212,2211
9,9,B6,JFK,-16,1519,1535
2,5,UA,EWR,-8,2311,2319
6,17,B6,JFK,2,1426,1424
9,18,AA,LGA,-8,857,905
3,18,DL,LGA,214,221,2247
7,22,AA,JFK,75,2010,1855
4,4,B6,JFK,11,2316,2305
12,27,AA,JFK,52,2047,1955
2,26,UA,EWR,-34,1140,1214
4,8,AA,JFK,0,1255,1255
8,25,UA,EWR,-21,1954,2015
12,29,VX,JFK,-24,1556,1620
11,5,B6,LGA,-31,2212,2243
8,14,B6,JFK,12,1051,1039
6,24,DL,EWR,141,2140,1919
9,29,US,LGA,-13,1154,1207
5,13,AA,JFK,-21,1329,1350
7,12,B6,EWR,0,1625,1625
6,9,EV,EWR,5,736,731
1,20,AA,JFK,-18,1202,1220
1,29,DL,LGA,-22,1118,1140
4,7,AA,JFK,113,2038,1845
1,6,WN,LGA,10,1945,1935
7,1,AA,LGA,52,1937,1845
10,29,UA,JFK,26,948,922
1,13,B6,LGA,-13,1711,1724
2,16,AA,JFK,-30,1440,1510
6,11,MQ,EWR,-18,702,720
9,6,UA,EWR,3,1613,1610
12,2,MQ,LGA,NA,1212,940
10,29,B6,JFK,20,28,8
11,1,UA,LGA,4,725,721
6,2,9E,JFK,137,2251,2034
8,22,AA,JFK,-11,959,1010
3,6,AA,JFK,NA,NA,1915
5,11,MQ,LGA,0,940,940
5,9,US,LGA,-27,2052,2119
3,8,AA,LGA,326,2231,1705
6,30,MQ,JFK,78,1428,1310
10,8,DL,EWR,-4,2015,2019
10,6,B6,JFK,-3,934,937
9,18,EV,EWR,-30,1700,1730
2,12,9E,JFK,-15,1249,1304
8,22,EV,EWR,48,1106,1018
10,10,MQ,LGA,-15,755,810
12,25,B6,JFK,63,1846,1743
11,7,B6,JFK,-19,1306,1325
8,30,WN,EWR,-13,1412,1425
10,14,AA,JFK,-18,1342,1400
4,16,AA,JFK,142,2137,1915
7,18,DL,EWR,31,2043,2012
5,13,9E,JFK,-16,1732,1748
7,9,DL,LGA,-6,1209,1215
3,12,WN,EWR,72,2207,2055
2,13,AA,LGA,3,1928,1925
7,17,EV,EWR,-14,1705,1719
9,12,UA,LGA,321,2311,1750
5,31,EV,EWR,NA,NA,2305
7,21,AA,LGA,-13,742,755
2,1,EV,EWR,-17,727,744
3,10,MQ,JFK,-8,1637,1645
3,26,EV,EWR,-17,1504,1521
10,24,AA,JFK,20,1620,1600
11,24,EV,EWR,-9,2217,2226
12,9,EV,EWR,75,1720,1605
12,11,UA,LGA,-1,1035,1036
2,13,B6,LGA,51,2339,2248
9,23,B6,JFK,-1,1351,1352
12,2,UA,EWR,-41,1754,1835
4,25,DL,JFK,1,2101,2100
12,16,B6,EWR,0,1646,1646
2,23,VX,JFK,-7,1228,1235
7,15,EV,LGA,5,2335,2330
8,13,EV,EWR,NA,NA,1429
3,25,DL,LGA,14,921,907
11,7,UA,JFK,2,2208,2206
6,9,DL,LGA,-14,1003,1017
5,22,B6,LGA,1,1310,1309
10,29,EV,JFK,31,2131,2100
3,1,MQ,LGA,-8,1242,1250
4,19,DL,LGA,-4,1212,1216
7,29,AA,LGA,NA,NA,930
3,10,9E,JFK,40,2155,2115
9,24,US,EWR,-13,1452,1505
12,29,UA,EWR,-11,1129,1140
9,9,DL,JFK,-33,1845,1918
11,14,B6,JFK,-23,2115,2138
2,27,EV,EWR,60,1526,1426
7,13,WN,LGA,18,2053,2035
9,13,MQ,EWR,-7,1437,1444
5,12,AA,JFK,29,2054,2025
3,29,WN,LGA,-18,1857,1915
6,6,EV,EWR,-15,1122,1137
6,19,EV,EWR,16,1946,1930
2,17,EV,JFK,-19,1102,1121
1,25,AA,JFK,2,1827,1825
3,18,EV,EWR,NA,NA,2238
12,31,AA,LGA,10,1035,1025
4,4,MQ,LGA,10,1514,1504
12,31,EV,EWR,43,1253,1210
4,1,UA,EWR,-16,850,906
8,9,MQ,JFK,69,9,2300
7,15,9E,LGA,5,2250,2245
12,2,EV,EWR,108,1722,1534
10,18,UA,EWR,-3,1738,1741
1,26,AA,LGA,-44,1201,1245
8,7,AA,EWR,-12,2008,2020
5,30,MQ,LGA,83,1518,1355
10,17,EV,EWR,6,1009,1003
10,13,US,LGA,25,1643,1618
1,8,US,EWR,-23,625,648
9,6,US,LGA,-7,1611,1618
1,16,EV,EWR,NA,NA,1816
5,16,UA,EWR,1,1619,1618
8,25,UA,EWR,-17,1358,1415
8,7,MQ,JFK,-6,1419,1425
5,31,EV,EWR,NA,NA,1208
1,9,AA,EWR,-1,2214,2215
10,25,B6,JFK,24,1811,1747
2,14,AA,LGA,5,1335,1330
3,15,UA,EWR,-10,2349,2359
6,16,DL,LGA,-16,1419,1435
5,27,UA,EWR,-23,2122,2145
11,7,DL,JFK,25,1952,1927
4,20,B6,JFK,-11,2117,2128
8,21,DL,JFK,-23,1016,1039
7,24,US,LGA,-10,1602,1612
10,1,MQ,LGA,-14,1736,1750
10,17,DL,LGA,-7,2127,2134
8,31,DL,JFK,-16,2151,2207
3,28,MQ,LGA,-16,1654,1710
9,11,DL,JFK,32,2200,2128
9,28,B6,EWR,-22,922,944
12,5,EV,EWR,NA,NA,2141
4,7,AA,JFK,-13,1327,1340
12,10,WN,LGA,18,808,750
8,31,EV,EWR,-17,1654,1711
9,22,US,LGA,-23,928,951
8,20,MQ,EWR,-21,1944,2005
12,11,DL,JFK,-11,1745,1756
7,7,US,JFK,54,2129,2035
3,5,MQ,LGA,-1,1034,1035
9,11,EV,EWR,NA,1949,1556
7,15,B6,JFK,-7,333,340
1,28,US,LGA,-13,2158,2211
6,22,AA,JFK,-14,1026,1040
12,4,EV,LGA,-2,1832,1834
2,2,B6,LGA,0,2249,2249
5,26,UA,EWR,-25,1004,1029
7,30,B6,JFK,0,1142,1142
6,28,DL,LGA,202,2203,1841
10,17,AA,LGA,99,2129,1950
2,17,AA,LGA,-23,2037,2100
8,30,AA,JFK,-3,1322,1325
7,12,US,LGA,8,1516,1508
3,10,9E,JFK,-13,1001,1014
8,8,B6,JFK,-12,919,931
12,15,UA,LGA,-15,1550,1605
8,9,AA,JFK,77,2202,2045
10,29,UA,EWR,38,1409,1331
7,5,UA,JFK,-44,1330,1414
6,3,DL,LGA,-15,1100,1115
9,24,US,LGA,-13,1904,1917
7,20,DL,JFK,8,2304,2256
2,7,B6,JFK,-17,2252,2309
8,27,MQ,LGA,-35,1215,1250
9,21,DL,JFK,-22,1006,1028
7,28,DL,LGA,-11,1425,1436
5,15,B6,JFK,-5,1505,1510
10,3,EV,LGA,249,2130,1721
6,22,UA,EWR,-14,754,808
4,18,DL,LGA,189,2356,2047
1,22,VX,JFK,1,1236,1235
11,25,DL,LGA,97,1242,1105
9,23,EV,EWR,-8,2203,2211
12,14,B6,JFK,-21,743,804
9,17,9E,JFK,-18,2112,2130
7,10,UA,EWR,NA,NA,1932
7,17,MQ,JFK,-16,914,930
4,22,B6,JFK,129,2003,1754
2,3,AA,LGA,-6,2124,2130
8,9,EV,EWR,-7,803,810
4,13,MQ,EWR,12,932,920
11,30,AA,LGA,17,1631,1614
1,22,WN,EWR,20,1925,1905
6,13,DL,LGA,30,1127,1057
2,21,DL,LGA,1,2244,2243
9,26,EV,EWR,-15,2301,2316
9,23,EV,EWR,41,2335,2254
12,1,MQ,LGA,-14,1316,1330
7,8,DL,LGA,5,1319,1314
1,13,B6,JFK,71,108,2357
12,11,AA,LGA,-8,1647,1655
2,5,US,LGA,27,834,807
5,30,UA,EWR,-18,2341,2359
3,4,AA,LGA,-14,1251,1305
6,11,UA,EWR,119,1355,1156
3,24,EV,LGA,36,2216,2140
9,10,B6,JFK,-10,1152,1202
11,3,B6,JFK,3,1536,1533
2,23,UA,EWR,8,1213,1205
12,6,B6,LGA,21,2304,2243
12,25,EV,EWR,-11,1029,1040
12,25,DL,LGA,-17,1320,1337
1,13,B6,JFK,4,317,313
7,25,B6,JFK,5,1354,1349
10,23,MQ,LGA,30,1510,1440
10,8,FL,LGA,4,1135,1131
8,5,EV,LGA,13,2159,2146
11,26,AA,JFK,-21,829,850
2,18,UA,EWR,-4,1551,1555
4,15,DL,JFK,-17,1626,1643
8,2,AA,JFK,-7,1348,1355
5,8,MQ,LGA,NA,NA,1020
6,18,EV,LGA,59,29,2330
2,16,US,LGA,2,1009,1007
5,23,UA,EWR,-1,1314,1315
9,8,MQ,LGA,-16,1013,1029
11,5,DL,LGA,-24,1426,1450
10,15,B6,JFK,0,1003,1003
9,18,AA,LGA,-15,1535,1550
3,27,DL,LGA,-12,1930,1942
8,30,DL,EWR,-7,952,959
8,22,EV,LGA,7,1133,1126
11,4,B6,EWR,-13,1207,1220
1,4,B6,EWR,-10,909,919
6,19,EV,EWR,-7,1051,1058
2,20,UA,EWR,-22,906,928
8,17,DL,JFK,-48,2136,2224
1,24,EV,EWR,198,2131,1813
9,28,MQ,JFK,-34,2051,2125
5,1,EV,EWR,5,1156,1151
6,13,DL,JFK,10,1120,1110
12,25,UA,EWR,3,922,919
1,17,B6,JFK,-22,1417,1439
4,14,DL,LGA,-26,1626,1652
7,17,B6,JFK,5,1730,1725
3,7,EV,EWR,-26,1455,1521
9,27,B6,JFK,-6,2004,2010
7,29,MQ,EWR,24,2029,2005
4,4,B6,JFK,-5,840,845
2,16,AA,LGA,2,2132,2130
2,4,B6,JFK,8,934,926
6,6,US,EWR,-13,853,906
2,25,EV,EWR,6,1707,1701
8,12,DL,LGA,7,1235,1228
4,16,B6,JFK,-21,1713,1734
10,30,UA,LGA,-12,2120,2132
5,25,B6,JFK,-27,1719,1746
11,28,EV,EWR,-14,1235,1249
3,20,9E,JFK,-25,2045,2110
2,25,WN,EWR,-8,722,730
12,9,UA,EWR,NA,NA,832
8,23,AA,JFK,74,2119,2005
10,1,UA,EWR,-22,1346,1408
4,12,B6,JFK,63,1102,959
9,25,US,EWR,-9,1230,1239
1,17,DL,LGA,-26,1834,1900
1,9,DL,JFK,-54,2127,2221
3,4,AA,EWR,-28,2147,2215
12,18,US,LGA,-8,1611,1619
7,19,UA,EWR,249,2052,1643
10,11,DL,JFK,14,1958,1944
10,11,UA,LGA,-25,854,919
1,3,AA,JFK,-19,1851,1910
4,7,DL,LGA,-12,1807,1819
7,14,DL,JFK,-55,2015,2110
3,13,WN,EWR,3,1258,1255
10,20,UA,EWR,-8,1213,1221
2,15,WN,EWR,-12,1013,1025
3,3,WN,EWR,-17,653,710
5,27,UA,EWR,-29,9,38
4,2,DL,LGA,46,1131,1045
9,27,US,LGA,26,1841,1815
1,5,UA,EWR,-14,1156,1210
10,15,UA,EWR,-21,1417,1438
2,12,9E,JFK,-10,2035,2045
4,1,B6,JFK,-4,1106,1110
12,13,EV,LGA,-25,1359,1424
5,15,EV,EWR,-13,1344,1357
4,30,DL,EWR,-11,1423,1434
10,30,AA,LGA,-10,1045,1055
5,28,B6,JFK,-19,847,906
12,14,B6,JFK,30,1054,1024
7,16,EV,EWR,-5,1027,1032
4,1,VX,JFK,9,1044,1035
4,15,EV,EWR,-14,1035,1049
9,1,AA,LGA,0,934,934
1,29,B6,JFK,-16,1048,1104
9,26,FL,LGA,222,1157,815
12,7,B6,EWR,1,1130,1129
8,18,MQ,EWR,-18,1102,1120
2,13,EV,EWR,-12,1808,1820
8,14,AA,JFK,12,112,100
12,20,B6,JFK,8,946,938
6,14,DL,JFK,10,2130,2120
1,21,UA,EWR,-13,1923,1936
6,25,F9,LGA,0,1545,1545
9,8,WN,EWR,-8,1637,1645
11,4,DL,LGA,0,1818,1818
6,25,EV,JFK,-16,1058,1114
3,12,AA,JFK,1,1221,1220
1,22,B6,JFK,-20,2315,2335
6,19,EV,EWR,5,735,730
4,15,B6,EWR,-19,2135,2154
8,11,B6,JFK,20,19,2359
4,11,AA,EWR,-23,1447,1510
12,30,EV,EWR,23,1857,1834
9,27,DL,JFK,-26,1327,1353
7,3,AA,JFK,0,2120,2120
5,7,EV,LGA,-33,2015,2048
8,15,B6,JFK,-4,336,340
3,21,UA,EWR,-3,1359,1402
3,21,DL,JFK,-23,1021,1044
3,19,B6,JFK,81,1956,1835
3,23,EV,EWR,-20,1801,1821
8,30,WN,EWR,213,2253,1920
6,4,MQ,LGA,-8,1026,1034
12,29,AA,JFK,62,2317,2215
2,18,DL,JFK,-16,1404,1420
4,29,UA,LGA,-33,2105,2138
9,4,DL,LGA,-36,2127,2203
10,15,DL,LGA,7,2112,2105
2,24,B6,EWR,-10,1106,1116
10,16,DL,LGA,-24,1010,1034
11,27,EV,EWR,-1,2252,2253
5,21,UA,EWR,15,1606,1551
11,11,UA,EWR,-26,1443,1509
10,12,VX,EWR,-42,1013,1055
9,24,UA,EWR,-32,2038,2110
6,20,VX,JFK,5,2310,2305
